show_id,title,director,cast,country,date_added,release_year,rating,duration,listed_in,type,
80083930,Ragini MMS,Pawan Kripalani,"Kainaz Motivala, Rajkummar Rao, Rajat Kaul, Janice, Shernaza, Mangala Ahire, Vinod Rawat",India,"May 31, 2019",2011,TV-MA,93 min,"Horror Movies, International Movies",Movie,
80083752,Ragini MMS 2,Bhushan Patel,"Sunny Leone, Saahil Prem, Parvin Dabas, Sandhya Mridul, Divya Dutta, Soniya Mehra, Kainaz Motivala, Karan Mehra",India,"May 31, 2019",2014,TV-MA,113 min,"Horror Movies, International Movies",Movie,
70185023,Shor In the City,"Raj Nidimoru, Krishna D.K.","Sendhil Ramamurthy, Tusshar Kapoor, Nikhil Dwivedi, Preeti Desai, Sundeep Kishan, Radhika Apte, Pitobash, Girija Oak, Alok Chaturvedi, Sudhir Chowdhary",India,"May 31, 2019",2011,TV-MA,106 min,"Comedies, Dramas, Independent Movies",Movie,
80200549,When They See Us,,"Asante Blackk, Caleel Harris, Ethan Herisse, Jharrel Jerome, Marquis Rodriguez, Jovan Adepo, Chris Chalk, Justin Cunningham, Freddy Miyares, Michael Kenneth Williams, Marsha Stephanie Blake, Kylie Bunbury, Aunjanue Ellis, Vera Farmiga, Felicity Huffman, John Leguizamo, Niecy Nash",United States,"May 31, 2019",2019,TV-MA,1 Season,"Crime TV Shows, TV Dramas",TV Show,
70202150,My Week with Marilyn,Simon Curtis,"Michelle Williams, Kenneth Branagh, Eddie Redmayne, Dominic Cooper, Philip Jackson, Derek Jacobi, Toby Jones, Michael Kitchen, Julia Ormond, Simon Russell Beale, Dougray Scott, Zoë Wanamaker, Emma Watson, Judi Dench","United Kingdom, United States","May 30, 2019",2011,R,99 min,"Dramas, Romantic Movies",Movie,
81010699,Svaha: The Sixth Finger,Jang Jae-hyun,"Lee Jung-jae, Park Jung-min, Lee Jae-in, Yoo Ji-tae, Jung Jin-young, Lee Da-wit, Jin Seon-kyu, Ji Seung-hyeon, Min Tanaka",South Korea,"May 30, 2019",2019,TV-14,123 min,"International Movies, Thrillers",Movie,
70299863,The One I Love,Charlie McDowell,"Mark Duplass, Elisabeth Moss, Ted Danson",United States,"May 30, 2019",2014,R,91 min,"Comedies, Dramas, Independent Movies",Movie,
80066080,DC's Legends of Tomorrow,Rob Seidenglanz,"Victor Garber, Brandon Routh, Caity Lotz, Franz Drameh, Amy Pemberton, Dominic Purcell, Maisie Richardson-Sellers, Nick Zano, Arthur Darvill, Wentworth Miller, Tala Ashe, Adam Tsekhman, Christina Brucato, Simon Merrells, Nils Hognestad, Jes Macallan, Keiynan Lonsdale",United States,,2018,TV-14,4 Seasons,"TV Action & Adventure, TV Sci-Fi & Fantasy",TV Show,
81087094,Lifechanger,Justin McConnell,"Lora Burke, Jack Foley, Bill Oberst Jr., Elitsa Bako, Sam James White, Rachel Vanduzer, Steve Kasan",Canada,"May 28, 2019",2018,TV-MA,84 min,"Horror Movies, Independent Movies, Thrillers",Movie,
80221447,The Nutcracker and the Four Realms,"Lasse Hallström, Joe Johnston","Mackenzie Foy, Keira Knightley, Helen Mirren, Morgan Freeman, Matthew Macfadyen, Eugenio Derbez, Miranda Hart, Jack Whitehall, Ellie Bamber, Richard E. Grant, Omid Djalili, Tom Sweet, Misty Copeland, Sergei Polunin, Meera Syal",United States,"May 28, 2019",2018,PG,99 min,Children & Family Movies,Movie,
